a1a2;b1b2;c1c2
vivre;naturel;pauvre
entrer;hasard;rose
reprendre;puis;enfermer
porter;condition;attitude
pays;quinze;dur
ciel;classe;mode
avant;voyage;neuf
frère;expression;crainte
regard;auprès;creuser
chercher;présent;grandir
âme;caractère;enfoncer
côté;ensemble;vêtement
mort;attention;envelopper
enfin;gris;vague
revenir;exprimer;prévenir
noir;or;violence
esprit;rouler;inspirer
maintenant;faible;inutile
nouveau;posséder;content
ville;scène;courant
rue;difficile;folie
appeler;français;pitié
soir;réveiller;intention
chambre;foi;ramasser
mourir;aider;endormir
pas;découvrir;inventer
partir;odeur;trace
cinq;choisir;toile
soleil;musique;presser
dernier;oncle;confier
jeter;événement;effacer
dix;prononcer;reculer
roi;village;user
état;taire;blanc
corps;envie;nourrir
beaucoup;midi;dangereux
suivre;herbe;poésie
bras;vieux;sommet
écrire;pluie;remplacer
blanc;près;souhaiter
montrer;bas;avance
tomber;rêver;autorité
place;appuyer;épais
ouvrir;étendre;inquiétude
ah;après;choix
parti;général;tombe
assez;lutte;marchand
leur;trembler;nombreux
cher;réponse;muet
voilà;grâce;signer
année;espace;absolument
loin;habitude;cercle
point;défendre;interroger
visage;existence;dominer
bruit;mémoire;défaut
lettre;créer;enfance
franc;grave;faveur
fond;maintenir;réel
force;verre;commander
effet;campagne;supposer
arrêter;quelqu'un;dépasser
perdre;juge;sourd
commencer;genou;cruel
paraître;impossible;dimanche
aucun;fête;erreur
marcher;indiquer;cerveau
milieu;prêt;accuser
saint;promettre;arrivée
idée;relever;rapidement
presque;abandonner;vol
ailleurs;ignorer;habiller
travail;large;condamner
lumière;parent;lors
long;colère;menacer
seulement;étoile;seuil
mois;devoir;écraser
fils;conscience;perte
neuf;accompagner;troisième
tel;immobile;chance
lever;adresser;vieil
raison;observer;même
gouvernement;juste;céder
permettre;puissance;douceur
pauvre;matière;droite
asseoir;sable;vide
point;séparer;autrement
plein;marier;drôle
personne;prévoir;ruine
vrai;vivant;écarter
peuple;accord;rang
fait;hiver;réclamer
parole;retour;chiffre
guerre;autrefois;voisin
toute;genre;militaire
écouter;d'autres;roche
pensée;vif;distance
affaire;amener;apparence
quoi;obliger;dessiner
matin;acte;conclure
pierre;image;françois
monter;horizon;lier
bas;éclairer;discussion
vent;poursuivre;admettre
doute;danger;banc
front;livrer;terreur
ombre;rôle;attaquer
part;escalier;vers
maître;goût;respecter
aujourd'hui;bête;rose
besoin;ceci;silencieux
question;recherche;anglais
apercevoir;membre;course
recevoir;pain;portier
mieux;phrase;chat
peine;contenir;pendre
tour;rire;supporter
servir;fuir;tempête
oh;couler;parfaitement
autour;terme;paysage
près;eaux;quart
finir;en;figurer
famille;moyen;profiter
pourquoi;police;accrocher
souvent;rocher;calmer
rire;proposer;satisfaire
dessus;tranquille;public
madame;unique;race
sorte;éprouver;valoir
figure;retenir;barbe
droit;type;signifier
eh;vin;couche
peur;supérieur;inquiéter
bout;attacher;colon
lieu;voler;désormais
silence;sec;fidèle
gros;entraîner;assister
chef;justice;rideau
six;époque;inviter
bois;passage;déchirer
mari;somme;fatigue
histoire;science;risquer
crier;surprendre;règle
jouer;côte;gauche
feu;doucement;parcourir
tourner;gauche;présent
doux;faute;rejeter
longtemps;école;naissance
fort;bon;loup
heureux;ensemble;renoncer
comme;rayon;complètement
garder;briser;extraordinaire
partie;sujet;veiller
face;imaginer;transformer
mouvement;diriger;tracer
fin;douze;chute
reconnaître;l'une;divers
quitter;dernier;résistance
personne;avis;contenter
comment;parvenir;chemise
route;ouvert;mince
dès;pénétrer;naturellement
manger;poète;siège
livre;meilleur;as
arbre;paysan;patron
courir;remarquer;calme
cas;chair;mériter
huit;éviter;printemps
lorsque;soudain;angoisse
mur;succès;précipiter
ordre;île;rompre
continuer;établir;habitant
est;réussir;plein
bonheur;pencher;caresser
oublier;habiter;métier
descendre;entourer;étouffer
haut;déclarer;animer
intérêt;détail;note
cacher;arme;passé
l'un;réalité;fine
chacun;confiance;fixe
profond;masse;casser
argent;crise;fusil
cause;étonner;rond
poser;poste;agent
autant;dresser;fonder
travers;durer;roman
grand;depuis;franchir
instant;faux;plante
façon;fixer;abattre
d'abord;énorme;discuter
oeil;principe;fatiguer
tirer;direction;humide
forme;taille;réflexion
présenter;désirer;consentir
ajouter;santé;accent
agir;ventre;curieux
retrouver;marché;repas
chemin;entrée;étendue
cheveu;puissant;regretter
offrir;simplement;joindre
surtout;environ;profondément
certain;tellement;secours
plaisir;arracher;commencement
suite;soutenir;corde
apprendre;couper;secrétaire
malgré;trou;vaincre
tuer;examiner;saison
rouge;inconnu;précieux
sang;pont;précis
retourner;lune;consulter
rencontrer;dehors;haïr
sentiment;certes;repousser
fleur;beaux;paupière
cependant;robe;certainement
service;douter;tapis
envoyer;retirer;noire
plusieurs;cesse;chasse
table;brusquement;exécuter
vite;source;nerveux
paix;espoir;nul
moyen;camarade;commun
dormir;dent;exposer
pousser;quant à;clef
lit;connaissance;claire
humain;cou;voyager
voiture;but;haute
rappeler;promener;renverser
être;vague;sueur
lire;élément;âgé
général;fil;ferme
nature;voie;rassurer
or;nez;retomber
pouvoir;forcer;décrire
nouveau;particulier;mentir
français;discours;instinct
joie;maladie;armer
sept;chaleur;paquet
tard;gloire;drame
président;vide;absolu
pourtant;revoir;savoir
bouche;aide;mine
changer;début;vision
petit;ennemi;étaler
essayer;second;sentier
froid;aile;demain
compter;flamme;beau
occuper;chaise;blond
sens;lourd;essuyer
cri;sein;planche
espèce;véritable;précéder
expliquer;toit;dehors
cheval;remplir;salut
loi;terminer;tâche
sombre;vaste;désigner
ci;nu;fin
sûr;poussière;abri
voici;nord;détacher
ancien;tenter;recueillir
tandis que;émotion;rencontre
frapper;hors;croiser
ministre;un;entretenir
puisque;remonter;rouge
selon;révolution;professeur
travailler;théâtre;surveiller
propre;armée;visible
obtenir;court;perdu
rentrer;noir;réserver
mal;appartement;bas
pleurer;semblable;lien
répéter;installer;queue
société;haine;bande
parfois;jeune;confondre
politique;position;grain
oreille;seconde;mensonge
payer;frais;dégager
politique;appel;
apporter;soulever;
fenêtre;allumer;
derrière;imposer;
possible;avant;
fortune;respirer;
compte;arrière;
champ;baisser;
manier;droite;
vraiment;poitrine;
immense;mort;
exister;jeunesse;
action;bureau;
boire;sac;
public;étranger;
garçon;courage;
pareil;souffler;
bleu;jaune;
exemple;page;
sourire;étranger;
couleur;etc;
coucher;miser;
papier;passé;
d'autres;rapide;
mal;digne;
fort;chaud;
bientôt;propos;
causer;attirer;
pièce;prêter;
montagne;clair;
sol;amuser;
oeuvre;occasion;
partout;voile;
trente;éclater;
cours;importance;
raconter;quartier;
;soi;
